date,samples_tested,total_samples_tested
2020-05-01,1434,
2020-05-02,1195,
2020-05-03,883,
2020-05-04,1012,
2020-05-05,1077,
2020-05-06,1077,
2020-05-07,1075,
2020-05-08,922,
2020-05-09,1611,
2020-05-10,1056,
2020-05-11,841,
2020-05-12,978,
2020-05-13,674,
2020-05-14,1486,
2020-05-15,2100,
2020-05-16,2100,
2020-05-17,2198,
2020-05-18,1139,
2020-05-19,1933,
2020-05-20,2621,
2020-05-21,3102,
2020-05-22,2567,
2020-05-23,,57650
2020-05-24,1108,59260
2020-05-25,2711,61971
2020-05-26,2293,64264
2020-05-27,3077,67341
2020-05-28,2831,70172
